case_id,initialization,interior_points,seed_hash_match,euler_feasible,slsqp_feasible,slsqp_minus_euler_percent
competing_corridors-s15,arc_right,64,True,True,True,0.0010077167591687956
competing_corridors-s15,arc_right,128,False,True,False,
competing_corridors-s15,barrier,32,True,False,True,
competing_corridors-s15,barrier,64,True,False,True,
competing_corridors-s15,barrier,128,False,False,False,
competing_corridors-s15,fast_marching,32,True,True,True,0.0038296262994051366
competing_corridors-s15,fast_marching,64,True,True,True,0.0010077245567956645
competing_corridors-s15,fast_marching,128,False,True,False,
competing_corridors-s15,straight,32,True,False,True,
competing_corridors-s15,straight,64,False,False,False,
competing_corridors-s15,straight,128,False,False,False,
competing_corridors-s16,arc_left,32,True,True,True,-24.516816072340987
competing_corridors-s16,arc_left,64,True,True,True,-28.41297615813756
competing_corridors-s16,arc_left,128,False,True,False,
competing_corridors-s16,arc_right,32,True,True,True,0.0016782150566761252
competing_corridors-s16,arc_right,64,True,True,True,0.0005040367868396764
competing_corridors-s16,arc_right,128,False,True,False,
competing_corridors-s16,barrier,32,True,True,True,-27.31329075527996
competing_corridors-s16,barrier,64,True,False,True,
competing_corridors-s16,barrier,128,False,False,False,
competing_corridors-s16,fast_marching,32,True,True,True,-0.012489040323470302
competing_corridors-s16,fast_marching,64,True,True,True,-0.002130202291082373
competing_corridors-s16,fast_marching,128,False,True,False,
competing_corridors-s16,straight,32,True,False,True,
competing_corridors-s16,straight,64,True,False,False,
competing_corridors-s16,straight,128,False,False,False,
competing_corridors-s17,arc_left,32,True,True,True,-44.35041566951823
competing_corridors-s17,arc_left,64,True,True,True,-44.35269744982302
competing_corridors-s17,arc_left,128,False,False,False,
competing_corridors-s17,arc_right,32,True,True,True,-0.004532225422614525
competing_corridors-s17,arc_right,64,True,True,True,-0.0009571230858588232
competing_corridors-s17,arc_right,128,False,True,False,
competing_corridors-s17,barrier,32,True,False,True,
competing_corridors-s17,barrier,64,True,True,True,-43.597438135261434
competing_corridors-s17,barrier,128,False,False,False,
competing_corridors-s17,fast_marching,32,True,True,True,-0.04629912730295194
competing_corridors-s17,fast_marching,64,True,True,True,-0.008663659971201864
competing_corridors-s17,fast_marching,128,False,True,False,
competing_corridors-s17,straight,32,True,False,True,
competing_corridors-s17,straight,64,False,False,False,
competing_corridors-s17,straight,128,False,False,False,
competing_corridors-s18,arc_left,32,True,True,True,-0.0009454348273026118
competing_corridors-s18,arc_left,64,True,True,True,0.0002614002922929519
competing_corridors-s18,arc_left,128,False,True,False,
competing_corridors-s18,arc_right,32,True,True,True,0.003512532904947449
competing_corridors-s18,arc_right,64,True,True,True,0.0009250706769214902
competing_corridors-s18,arc_right,128,False,True,False,
competing_corridors-s18,barrier,32,True,False,True,
competing_corridors-s18,barrier,64,True,False,True,
competing_corridors-s18,barrier,128,False,False,False,
competing_corridors-s18,fast_marching,32,True,True,True,-0.0009454354103671118
competing_corridors-s18,fast_marching,64,True,True,True,0.0002613971345707721
competing_corridors-s18,fast_marching,128,False,True,False,
competing_corridors-s18,straight,32,True,False,True,
competing_corridors-s18,straight,64,False,False,False,
competing_corridors-s18,straight,128,True,False,False,
competing_corridors-s19,arc_left,32,True,True,True,-18.815983654920963
competing_corridors-s19,arc_left,64,True,True,True,-15.767380240865005
competing_corridors-s19,arc_left,128,False,True,False,
competing_corridors-s19,arc_right,32,True,True,True,0.005302887284260515
competing_corridors-s19,arc_right,64,True,True,True,0.0014154665853779566
competing_corridors-s19,arc_right,128,False,True,False,
competing_corridors-s19,barrier,32,True,False,True,
competing_corridors-s19,barrier,64,True,False,True,
competing_corridors-s19,barrier,128,False,True,False,
competing_corridors-s19,fast_marching,32,True,True,True,0.005302875533888079
competing_corridors-s19,fast_marching,64,True,True,True,0.0014154607757462113
competing_corridors-s19,fast_marching,128,False,True,False,
competing_corridors-s19,straight,32,True,False,True,
competing_corridors-s19,straight,64,False,False,False,
competing_corridors-s19,straight,128,False,False,False,
contrast-competing_corridors-s00-c0p0,arc_left,64,True,False,True,
contrast-competing_corridors-s00-c0p0,arc_right,64,True,False,True,
contrast-competing_corridors-s00-c0p0,barrier,64,True,False,True,
contrast-competing_corridors-s00-c0p0,fast_marching,64,False,False,False,
contrast-competing_corridors-s00-c0p0,straight,64,False,False,False,
contrast-competing_corridors-s00-c1p0,arc_left,64,True,True,True,-0.0008387824751878777
contrast-competing_corridors-s00-c1p0,arc_right,64,True,True,True,0.000368952565119635
